context_text,reply_text,language,source,gap_lines,gap_seconds
Slay!,Lauri!,en,artstream,1,
Peak,its peak bibbles,en,artstream,1,
Yippie!,...gefixt ist.,de,artstream,1,
"No, no.","Thank you, Tom.",en,artstream,1,
oh boy!,oh boy!,de,GOWstream.mp4,1,5
"Ha-ha, ja.
Ah!",Fuck,de,GOWstream.mp4,1,5
Father!,Das war richtig räudig.,en,GOWstream.mp4,1,2
Mach dich bereit.,Ich bin nicht in Ordnung.,de,GOWstream.mp4,1,30
"It's adorable
It is the way of the world
That's sad",It is,en,GOWstream.mp4,1,2
"Ich bin mir nicht sicher, warum jemand hierher will. Aber hier sind wir.
Es riecht schlecht.","Ja, es riecht schlecht. Es ist ein schlechtes Land.",de,GOWstream.mp4,1,2
This is a dangerous place.,Danger zone.,en,GOWstream.mp4,1,3
I'm ready.,Leck mich,de,GOWstream.mp4,1,16
"Yes.
Am I audible?
Disgusting.",Let me check my runes really quick.,,4_9hours.mp4,1,12
"Hmm.
Hmm.
Hmm.
Hmm.",I want that.,,4_9hours.mp4,1,1
"Hmm.
Hmm.
Hmm.
The yellow one, okay.
Purple?",Yes.,,4_9hours.mp4,1,2
"Yes.
Yes.",What greens do I have?,,4_9hours.mp4,1,10
"Oh, yeah.","Oh, yeah.",,4_9hours.mp4,1,2
"Yeah, I can't join.
It says no.
I can.",It says no.,,4_9hours.mp4,1,6
I sent you a guide.,On day one and day two?,,4_9hours.mp4,1,2
On Instaslam about routing.,Yeah.,,4_9hours.mp4,1,2
No.,I read day one and two.,,4_9hours.mp4,1,1
"Well, then you did read it.","Yeah, you sent me like five million fucking guides.",,4_9hours.mp4,1,2
"I said, did you watch?
Did you read the guides I sent you?
Yeah, there's so many.
Yeah.
Multiple.
Easy question to answer, though.",Ready?,,4_9hours.mp4,1,2
"I'm ready.
Spaghetti.","Ready, spaghetti?",,4_9hours.mp4,1,2
"I saw a thing and it's...
I think we're all meant to go Iron Eye then.
If we fight him.",No.,,4_9hours.mp4,1,2
Yeah.,But you should bring a bow.,,4_9hours.mp4,1,1
A bow?,"Yeah, Goomba.",,4_9hours.mp4,1,1
"Yes.
I need spells.
Goomba.",And then we're fine.,,4_9hours.mp4,1,1
"Every day I don't throw up from nicotine poisoning.
That's a bad day.
It's a bad day.
A day wasted.
Yeah, a day wasted.
You could have lived.
You could have lived, but you chose to sleep.
To sleep?",Okay.,,4_9hours.mp4,1,7
"Get the churches.
Let's try this one first.
And then go churches.",And go church.,,4_9hours.mp4,1,1
"They're not useless.
What are you talking about?",What in the guide you sent me?,,4_9hours.mp4,1,2
