text,language,source,timestamp,line
hello I have a little special guest a little mini special guest who is very sweet hello I'm going to close the camera again because I'm going to fall anyway come on come on Bmo; is Bmo coming?,en,artstream,00:00:00,0
"a baby super come on ,artstream,2.0
00:00:00,l,en,sit super a baby ,artstream,2.0
00:00:00,l,en,I can turn on the lights right away very bright light ,artstream,2.0
00:00:00,l,en,he is a good boy ,artstream,2.0
00:00:00,l,en,so I have mini mini mini things we don't want to overdo it and I have to find out a reference picture that I want to make from bibbles huh,artstream,2.0
00:00:00,l,en,they are just packed again the correct title is to paint a picture of bibbles and if it gets completely shit it will be lost yes yes but we'll see ,artstream,2.0
00:00:00,l,en,I only have shitty shit uh  pencils unfortunately ,artstream,2.0
00:00:00,l,en,I actually have a good one but it's gone I lend Tom once and gone he is ,artstream,2.0
00:00:00,l,en,but I think it's still doable the pencils were packed once in large quantities and are packed again individually ,artstream,2.0
00:00:00,l,en,it's really shitty I hate something like that when everything is packed seperately,artstream,2.0
00:00:00,l,en,I have a lot of colors in case you haven't seen it yet they are all from Tom extra fresh ,artstream,2.0
00:00:00,l,en, yes so we first paint a picture of bibbles and now I have to look first I would donate it to Aziza,artstream,2.0
00:00:00,l,en, yes it's just an Aziza picture ,artstream,2.0
00:00:00,l,en,first look which bibbles we want to have ,artstream,2.0
00:00:00,l,en, well hello Fabi ,artstream,2.0
00:00:00,c,en,dude this is the most beautiful stream notification I got today ,artstream,2.0
00:00:00,l,en,what do I have as a notification in it?",en,artstream,00:00:00,1
"yes, maybe I'll do two maybe we'll do this one depression and this one okay, I would I would, so is it a little better?",en,artstream,00:00:00,2
"no, they are all equally horrible I'm going to paint completely blind now without using my eyes very simple oh boy I'm going to do this...now what?",en,artstream,00:00:00,3
I have five but let's see how long I'm there today I think this one is really good too I think this one is really really good too and this one saw things so I think this one is good but with knife I think this one is good let's start with this one,en,artstream,00:00:00,8
what?,en,artstream,00:00:00,10
for me?,en,artstream,00:00:00,11
"no no no okay watch out I'm sketching now I don't have a pencil I don't have a eraser this is going to be so chaotic ,artstream,14.0
00:00:00,l,en, how fat he is , artstream,14.0
00:00:00,l,en, boy there is already a stain I think it's not that bad ,artstream,15.0
00:00:00,l,en,only you are here to judge me only god can judge me ,artstream,15.0
00:00:00,l,en,okay judged ,artstream,15.0
00:00:00,l,en,Why did I do that so weird?",en,artstream,00:00:00,12
"Okay, the proportions are not right.",en,artstream,00:00:00,13
Warum hat der so einen weirden kack Daumen?,de,artstream,00:00:00,14
What is that?,en,artstream,00:00:00,15
I swear.,en,artstream,00:00:00,16
