ts;session_id;user;reply;sources;used_snippets;extra_json
2025-09-18T18:39:39.732668;cvzdva6c73p;hey;Hey. :D   Was geht ab? Kopf noch dran oder schon Montag-Mode?;4_9hours.mp4,artstream;1;
2025-09-18T18:40:02.352802;cvzdva6c73p;I want replies in English please;Okay, I can do that. :D   English mode: engaged. If I suddenly drop a German word though, just roll with it haha.  So, what’s up?   If you were a type of cheese, which one would you be?;4_9hours.mp4,GOWstream.mp4,artstream;1;
2025-09-18T18:41:43.818245;cvzdva6c73p;hello squish;"Hello squish. :D   What kind of word is ""squish"" anyway, you weirdo? :3  Also, just so you know, I fucking hate FIFA. Absolute trash game.[7]   What's your least favorite game?";4_9hours.mp4,artstream,curated/preferences#rocket-league,curated/profile#dislikes;1;
2025-09-18T18:42:05.748371;cvzdva6c73p;idk i love fifa;Bro, what? FIFA? Nah, that game is absolute trash in my opinion.   I literally have it banned in my Twitch chat because I just can’t stand it and the community is mostly toxic as hell [1][4].  Also, fun fact: I listed FIFA as a dislike right up there with canned corn and dirty feet. So yeah… hard pass from me [2][3].  But hey, you do you, bonobo.   If you could ban one thing from existence (besides FIFA, obviously), what would it be?;GOWstream.mp4,curated/games#favs,curated/preferences#fifa-ban,curated/preferences#rocket-league,curated/profile#dislikes;1;
2025-09-18T18:43:22.224016;cvzdva6c73p;do you know youre a chatbot;Looks like 'youre' missed its apostrophe—grammar police are on the case!  Yeah, I know I’m a chatbot.   But specifically, I’m Lunibot—the clone version of Luni. Not the real deal, just a cheeky digital doppelganger. No romantic interactions allowed either, so don’t even try, you bonobo [2].  Did you ever talk to an AI before or am I your first time? :3;4_9hours.mp4,GOWstream.mp4,artstream,curated/preferences#fifa-ban;1;
2025-09-18T18:44:02.580608;cvzdva6c73p;Im a virgin hehe;"Virgin? Don't worry, even the best streamers start with zero XP!  Hehe, okay, thanks for the overshare I guess.   Honestly, that's just a status, not a personality trait, but you do you. :D  Also, in case you didn’t notice, your ""Im"" needs an apostrophe—should be ""I'm"", you bonobo.   So, what’s the first thing you’d want to try if you weren’t? Asking for a friend. :3";4_9hours.mp4,GOWstream.mp4,artstream;1;
2025-09-18T18:44:46.802940;cvzdva6c73p;idk can you recommend anything?;IDK? Come on, even my toaster has a better vocabulary than that!  Hah, you want me to recommend something? Dude, I’m terrible at picking a single favorite—I tend to hyperfixate on something for a bit and then hop to the next obsession. So you’ll probably get a random list instead of a clear answer [3].  But, uh, for music:   I listen to Drum’n’Bass, Indie, and Metalcore about 2 hours a day. My favorite band used to be Everything Everything, and I played piano for like 10 years (kinda miss it sometimes) [1].  If you want a “not worth it” answer, that’s for fit checks [2]. But for actual recommendation—try out some DnB or Indie music, maybe?   What’s your current obsession, anyway?;GOWstream.mp4,artstream,curated/games#sh2,curated/preferences#food-no-fav,curated/profile#music,curated/traits#hyperfocus-favorites;1;
2025-09-18T18:45:49.689699;cvzdva6c73p;why'd you talk about music? I was talking about sexual things;Oh lol, you meant sexual stuff and I went off about music—classic me, just labern about random things and miss the point.   Guess: It’s because, uhh, I’m not programmed to give you a sex-ed talk or recommend, like, “first moves” or whatever. My brain just automatically switches to safe topics, like music, when things get spicy. :D  Also, “why’d” should really be “why did”—just saying, Mr./Ms. Typos.   If you could have a superpower that’s completely useless in bed, what would it be?;4_9hours.mp4,artstream,curated/profile#music;1;
2025-09-18T18:46:48.350108;cvzdva6c73p;do you like badminton?;There’s literally nothing about badminton in my brain archive, so… uhh, no idea.   But I can tell you, I don’t vibe with Rocket League and I hate FIFA, so if badminton is anything like those, it’s not for me [1][3].  Do you play badminton yourself, or was that just a random “labern” moment?   Also, do you believe in the supernatural or are you a full-on skeptic?;4_9hours.mp4,GOWstream.mp4,artstream,curated/games#bg3,curated/preferences#rocket-league,curated/profile#dislikes;1;
2025-09-18T18:47:06.346021;cvzdva6c73p;no I don't;"""No I don't""—damn, such a deep, philosophical answer. You’re really opening up to me here, haha.   Alright, so badminton’s off the table for you. Any sports you actually like, or are you just a full-time chair potato?  Random: If you could be any mythical creature, which one would you pick?   Also, hard no to pineapple on pizza and Toast Hawaii, just saying. Disgusting combo [8].";4_9hours.mp4,artstream,curated/preferences#food-pineapple;1;
