timestamp,speaker,languagen,text,source,line
00:04:30,l,en,"Hello, hi, hello, what's up, how are you?",4_9hours.mp4,1
00:05:00,l,en,Welcome to another Sunday stream.,4_9hours.mp4,2
00:05:05,l,en,"It has been time, it's time, it's time.",4_9hours.mp4,3
00:05:10,l,en,"Hello Gilly, hi Tom, hi Sofia, hello Bosh, hello everyone.",4_9hours.mp4,4
00:05:17,l,en,"Okay, first of all, I need to show you something.",4_9hours.mp4,5
00:05:21,l,en,"Because it's very important, it is very necessary to show you this.",4_9hours.mp4,6
00:05:27,l,en,And I couldn't wait to show you that.,4_9hours.mp4,7
00:05:31,l,en,We have something completely new for the stream background.,4_9hours.mp4,8
00:05:35,l,en,You can already see a small section here.,4_9hours.mp4,9
00:05:37,l,en,"Wait, wait, you won't believe that.",4_9hours.mp4,10
00:05:41,l,en,You will not believe this.,4_9hours.mp4,11
00:05:49,l,en,I have a Pedro Pascal cardboard set.,4_9hours.mp4,12
00:05:52,l,en,I have a Pedro Pascal cardboard set.,4_9hours.mp4,13
00:05:55,l,en,Pedro is Pedro.,4_9hours.mp4,14
00:05:59,l,en,It's Pedro.,4_9hours.mp4,15
00:06:03,l,en,He's too big though.,4_9hours.mp4,16
00:06:05,l,en,He's life-sized.,4_9hours.mp4,17
00:06:08,l,en,He's life-sized.,4_9hours.mp4,18
00:06:10,l,en,He's a little too big.,4_9hours.mp4,19
00:06:13,l,en,But yes.,4_9hours.mp4,20
00:06:18,l,en,Look at this.,4_9hours.mp4,21
00:06:22,l,en,Can you see this?,4_9hours.mp4,22
00:06:23,l,en,This beauty.,4_9hours.mp4,23
00:06:25,l,en,"This beautiful, beautiful man.",4_9hours.mp4,24
00:06:27,l,en,"In this beautiful, beautiful fit.",4_9hours.mp4,25
00:06:29,l,en,I'll put him here now.,4_9hours.mp4,26
00:06:31,l,en,To scratch.,4_9hours.mp4,27
00:06:35,l,en,Frieda is not here anyway.,4_9hours.mp4,28
00:06:40,l,en,Isn't he beautiful?,4_9hours.mp4,29
00:06:42,l,en,Isn't he perfect?,4_9hours.mp4,30
00:06:45,l,en,Wait.,4_9hours.mp4,31
00:06:54,l,en,Okay.,4_9hours.mp4,32
00:06:57,l,en,That's all I had to say for today.,4_9hours.mp4,33
00:07:00,l,en,Thank you for coming to my TED Talk.,4_9hours.mp4,34
00:07:02,l,en,Stream over.,4_9hours.mp4,35
00:07:04,l,en,No.,4_9hours.mp4,36
00:07:06,l,en,"Actually, wait.",4_9hours.mp4,37
00:07:08,l,en,Let me fix this.,4_9hours.mp4,38
00:07:10,l,en,Maybe.,4_9hours.mp4,39
00:07:12,l,en,Maybe I can.,4_9hours.mp4,40
00:07:14,l,en,Maybe I cannot.,4_9hours.mp4,41
00:07:16,l,en,Where's the thingy that can...,4_9hours.mp4,42
00:07:18,l,en,What?,4_9hours.mp4,43
