timestamp,speaker,language,text,source,line
00:00:00,l,en,hello I have a little special guest a little mini special guest who is very sweet hello I'm going to close the camera again because I'm going to fall anyway come on come on Bmo; is Bmo coming?,artstream,1.0
00:00:00,l,en,"a baby super come on ,artstream,2.0
00:00:00,l,en,sit super a baby ,artstream,2.0
00:00:00,l,en,I can turn on the lights right away very bright light ,artstream,2.0
00:00:00,l,en,he is a good boy ,artstream,2.0
00:00:00,l,en,so I have mini mini mini things we don't want to overdo it and I have to find out a reference picture that I want to make from bibbles huh,artstream,2.0
00:00:00,l,en,they are just packed again the correct title is to paint a picture of bibbles and if it gets completely shit it will be lost yes yes but we'll see ,artstream,2.0
00:00:00,l,en,I only have shitty shit uh  pencils unfortunately ,artstream,2.0
00:00:00,l,en,I actually have a good one but it's gone I lend Tom once and gone he is ,artstream,2.0
00:00:00,l,en,but I think it's still doable the pencils were packed once in large quantities and are packed again individually ,artstream,2.0
00:00:00,l,en,it's really shitty I hate something like that when everything is packed seperately,artstream,2.0
00:00:00,l,en,I have a lot of colors in case you haven't seen it yet they are all from Tom extra fresh ,artstream,2.0
00:00:00,l,en, yes so we first paint a picture of bibbles and now I have to look first I would donate it to Aziza,artstream,2.0
00:00:00,l,en, yes it's just an Aziza picture ,artstream,2.0
00:00:00,l,en,first look which bibbles we want to have ,artstream,2.0
00:00:00,l,en, well hello Fabi ,artstream,2.0
00:00:00,c,en,dude this is the most beautiful stream notification I got today ,artstream,2.0
00:00:00,l,en,what do I have as a notification in it?",artstream,2.0
00:00:00,l,en,"I don't know I want this one really cool but actually I just want to somehow I want to paint bibbles with with sunglasses ,artstream,3.0
00:00:00,l,en, oh I'm present the one with the flames in the background ,artstream,3.0
00:00:00,c,en,digital format?,artstream,4.0
00:00:00,l,en,"no no no we are going in here completely blind, it's going to be shit you want this one, right?",artstream,5.0
00:00:00,l,en,"yes, maybe I'll do two maybe we'll do this one depression and this one okay, I would I would, so is it a little better?",artstream,6.0
00:00:00,l,en,"no, they are all equally horrible I'm going to paint completely blind now without using my eyes very simple oh boy I'm going to do this...now what?",artstream,7.0
00:00:00,c,en,"manic delusion gay, gay noises?",artstream,8.0
00:00:00,c,en,"I think that's great too boy I can't open it with wimper and nails, right?",artstream,9.0
00:00:00,i,en,"open the package now, dude that was the most difficult shit okay, I think the worst is behind us honestly I actually want glasses like this one so okay how do I film this?",artstream,10.0
00:00:00,c,en,"so, we go to another screen I want to take this one no how many lines do you have?",artstream,11.0
00:00:00,l,en,I have five but let's see how long I'm there today I think this one is really good too I think this one is really really good too and this one saw things so I think this one is good but with knife I think this one is good let's start with this one,artstream,12.0
00:00:00,c,en, can you draw my Instagram name for you?,,
00:00:00,l,en,what?,artstream,13.0
00:00:00,l,en,for me?,artstream,14.0
00:00:00,l,en,"no no no okay watch out I'm sketching now I don't have a pencil I don't have a eraser this is going to be so chaotic ,artstream,14.0
00:00:00,l,en, how fat he is , artstream,14.0
00:00:00,l,en, boy there is already a stain I think it's not that bad ,artstream,15.0
00:00:00,l,en,only you are here to judge me only god can judge me ,artstream,15.0
00:00:00,l,en,okay judged ,artstream,15.0
00:00:00,l,en,Why did I do that so weird?",artstream,15.0
00:00:00,l,en,"Okay, the proportions are not right.",artstream,16.0
00:00:00,l,de,Warum hat der so einen weirden kack Daumen?,artstream,17.0
00:00:00,l,en,What is that?,artstream,18.0
00:00:00,l,en,I swear.,artstream,19.0
00:00:00,l,en,Maybe I misjudged myself with the size.,artstream,20.0
00:00:00,l,en,I think I want to make him a little fatter.,artstream,21.0
00:00:00,l,en,I shouldn't have made him fatter.,artstream,22.0
00:00:00,l,en,Now I don't have any space for the second hand.,artstream,23.0
00:00:00,l,en,We are going to change the picture a little bit.,artstream,24.0
00:00:00,l,en,We are going to give him an actual finger.,artstream,25.0
