timestamp,speaker,text,source,line
00:00:00,,hello peoples na wie war euer Wochenende?,gow,1
00:00:00,,"dafür Kai, dass du gute Suppe hast gut Suppe is du, bist du so jemand der immer das gleiche isst oder dann schon oder ständig durchwechselt weißt du wie ich mein?",gow,2
00:00:00,,"so Sophia vier Monate durchs gleiche essen jeden Tag oder ne ich bin so im Mittelweg glaube ich ich weiß nicht wer von uns jeden Tag was anderes essen muss oder möchte mein Vater der möchte jeden Tag was anderes haben der mag das nicht wenn es ständig Reste essen gibt das macht ihn, das macht ihn depri und hallo Flo ich war gerade noch mit Tom in Somboldt und habe mich um unsere landwirtschaftlichen Dings scheiß gekümmert hatte meine letzte Fertigsuppe vor zwei Monaten ja ok, dann bist du auch mehr so Team mein Dad ja also ich esse halt, ich bin eher so jemand der drei Mal in der Woche das gleiche essen kann aber halt nicht jeden ich hintereinander die ganze Zeit aber drei Mal in der Woche und das ist monatlang für mich fein so keine Ahnung, schmiere ich mir halt immer genau das gleiche Brot oder ich mache mir halt ständig mein scheiß Kimchi Ramen oder meine Spicy Cheese Nudels weißt du wie ich mein?",gow,3
00:00:00,,"aber ich brauche halt dann am nächsten Tag was anderes und am übernächsten könnte ich es wieder essen so bin ich eher ja mein Bruder ist auch so jemand der das jeden Tag was anderes will ich habe gestern so eine süße Postkarte bekommen von meiner Nichte die war so hype dass Tom und ich gekommen sind und dann haben wir einfach nicht mit ihr, wie heißt es, Ghosts gespielt wir haben die ganze Zeit mit Biss Mut mit so einem Metall rumgespielt das geschmolzen weil wir Biss Mut Kristalle machen wollten hat super, ja am Anfang gar nicht funktioniert und dann irgendwann schon aber nicht gut genug, also da geht noch was jeden Tag Reis mit irgendeinem Pesto, du isst Reis mit Pesto?",gow,4
00:00:00,,"das isst man auch mit Nudeln ja du hast hier nicht ihr Sonnensystem angeguckt, wir haben nicht mit ihr Ghosts gespielt ich bin aber eine Weile mit ihr im Lagerfeuer gesessen weil wir haben dann Stockbrot und Marshmallows gemacht und dann ich glaube da war sie schon happy sie habe mich dann auch gefragt wie ich das immer mache mit den Strichen an meinem Auge und warum die schwarz sein müssen und nicht bunt weil ich habe dann auch gesagt ja ich habe auch ganz viele bunte Farben aber die benutze ich nicht so oft nicht immer bunt schwarz ist schöner, ok?",gow,5
00:00:00,,ich mag schwarz mehr Essen ist Essen?,gow,6
00:00:00,,"ja gut, aber ich habe bei dir Flo schon das Gefühl dass du da schon eher ein bisschen picky bist was Essen angeht, also du bist sehr schnell unzufrieden mit Essen dass du da ein Reis mit Pesto frisst wundert mich, ist günstig aber da sind noch Nudeln irgendwie irgendwie nicer so immer wenn wir zu essen, also wirklich immer wenn wir was zu essen bestellen beschwert sich Flo über irgendwas, irgendwas ist immer falsch der Döner letztens war auch nicht richtig, es ist immer irgendwas schlecht du isst alles aber du isst nichts gern ich habe die Suppe zu scharf gemacht dann nicht zu tief rein schlürfen sonst hast du es im Rachen hängen ich habe vorher einfach diese Mauernkrache die hatte ich das letzte Mal bestimmt vor 10 Jahren ich habe einfach einen inhaliert kurz und mich ultra dran verschluckt und die sind ja dann, die sind ja so fest, das heißt die cutten dann erstmal richtig rein und tun einfach arschwebe wenn die in deinem Hals drin stecken but I survived, I'm still here just done happy although I'm a little bit on edge today also because of the elections and I don't know why but next week there will be a lot of important stuff and a lot of things where I don't know how it will go and if it will all go as I want it to I don't know things that I can't estimate 100% and where I shouldn't worry about I'm sorry because it will come when it will but of course I'm still worried because it's me but Linke has almost 9% how it looks, we don't know for sure I ate a whole pack and then fell backwards after the ping-pong huh?",gow,7
00:00:00,,huh?,gow,8
00:00:00,,a whole pack and crash or what?,gow,9
00:00:00,,what are you talking about?,gow,10
