"Zeitstempel","Wie alt bist du? / How old are you?","  Welches Geschlecht haben Sie? / What is your gender?  ","  Welchen höchsten Bildungsabschluss haben Sie? / What is your highest level of education?  ","  Waren Sie vor dieser Umfrage über KI-Avatare informiert, die Personen nachahmen? / Before this survey, were you aware of AI avatars replicating individuals?  ","  Waren Sie vor dieser Umfrage über KI-Avatare informiert, die Personen verstorbene nachahmen? / Before this survey, were you aware of AI avatars replicating deceased individuals?  ","  Haben Sie bereits mit KI-Systemen oder Chatbots interagiert? / Have you ever interacted with AI/chatbots?  ","  Sollten Menschen KI-Avatare von sich selbst zu Lebzeiten erstellen dürfen?
/ Should people be allowed to create AI avatars of themselves while alive?  ","  Glauben Sie, dass ein KI-Avatar die Persönlichkeit und Werte einer Person genau darstellen kann?
/ Do you believe an AI avatar can accurately represent a person’s personality and values?  ","  Was sollte ein KI-Avatar haben, um eine Person realistisch darzustellen? (Mehrfachauswahl)
/ Which features should an AI avatar have to be considered an accurate representation?  (Multiple Choice)","  Wie wohl fühlen Sie sich mit der Idee, einen KI-Avatar eines Menschen zu erstellen?
/ How comfortable do you feel about creating an AI avatar of a person?  ","  Wie wohl fühlen Sie sich mit der Idee, einen KI-Avatar eines verstorbenen Menschen zu erstellen?
/ How comfortable do you feel about creating an AI avatar of a deceased loved one?  ","  Welche Emotionen empfinden Sie beim Gedanken an die Interaktion mit einem solchen Avatar? (Mehrfachauswahl)
/ What emotions would you feel when interacting with such an avatar?  (Multiple Choice)","Wie wichtig ist die Zustimmung der Person vor Erstellung oder Nutzung eines KI-Avatars? /  How important is the person’s consent before creating or using an AI avatar? ","  Wie wichtig ist es, vor der Erstellung eines KI-Avatars die Zustimmung einer verstorbenen Person oder deren Familie einzuholen?
/ How important is obtaining consent of the 
deceased person or their family before creating an AI avatar?  ","  Was sollte passieren, wenn die Familie der verstorbenen Person die Erstellung oder Nutzung ablehnt?
/ What should happen if the family of the deceased does not approve of the AI being created?  ","  Trägt die Erstellung von KI-Avataren zur Erinnerung an Verstorbenen bei oder schmälert sie diese?
/ Does creating AI avatars contribute to or detract from the memory of the deceased?  ","  Wie würde der Kontakt mit einem  KI-Avatar einer verstorbenen Person Ihren Trauerprozess beeinflussen?
/ How might interacting with an AI avatar of a deceased person affect your grieving process?  ","  Welche Richtlinien sollten für KI-Avatare gelten? (Mehrfachauswahl)
/ What guidelines should exist for AI avatars?  (Multiple Choice)","  Wie stellen Sie sich die Zukunft digitaler Vermächtnisse mit KI vor?
/ How do you envision the future of digital legacies with AI?  ","  Würden Sie ein KI-Abbild Ihrer selbst nutzen, um in Zukunft zu kommunizieren?
/ Would you be open to using an AI avatar of yourself for future communication?  ","  Würden Sie ein KI-Abbild Ihrer selbst als Vermächtnis nutzen? 
/ Would you be open to using an AI avatar of yourself as a legacy?  ","Weiterer input? // Any other thoughts?"
"2025/08/31 8:17:09 PM OESZ","25-34","","Mittlere Reife / High school","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","2","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Positiv / Positive","Zustimmung der Person / Consent of the individual","Verstärkte Nutzung / Increased use","Ja / Yes","Vielleicht / Maybe",""
"2025/08/31 9:32:44 PM OESZ","25-34","Männlich / Male","Promotion / Doctorate","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/08/31 9:32:55 PM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","4","Trost / Comfort;Verwirrung / Confusion;Freude / Joy;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/08/31 9:34:08 PM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","3","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/08/31 9:39:21 PM OESZ","25-34","Männlich / Male","Sonstiges/other","Ja/Yes","Ja/Yes","","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Trost / Comfort;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Neutral","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family","Verstärkte Nutzung / Increased use","Ja / Yes","Vielleicht / Maybe",""
"2025/08/31 9:46:57 PM OESZ","25-34","Männlich / Male","Master","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Unsicher / Unsure","Werte & Überzeugungen / Values & beliefs","2","2","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","2","4","Avatar darf nicht genutzt werden / Should not be used","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/08/31 9:49:34 PM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","2","Nostalgie / Nostalgia;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",":)"
"2025/09/01 12:06:41 AM OESZ","25-34","Weiblich / Female","Sonstiges/other","Ja/Yes","Nein/No","Ja/Yes","Unsicher / Unsure","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/01 12:16:35 AM OESZ","18-24","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Vielleicht / Maybe","Nein / No",""
"2025/09/01 12:36:10 AM OESZ","25-34","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","5","3","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy;Traurigkeit / Sadness","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes",""
